feature,source_mean,external_mean,source_std,external_std,standardized_mean_difference,abs_standardized_mean_difference,ks_statistic,n_source,n_external
delta_mfcc_13_std,1.4969606251535934,1.6335911093986903,0.7103582759613902,0.5773999383946219,0.21106851947762062,0.21106851947762062,0.1291868724925065,19024,8331
delta_mfcc_38_std,0.7322566380071837,0.6648862990713351,0.3858643815565786,0.2376843919412405,-0.21022469055870782,0.21022469055870782,0.0934730122247518,19024,8331
delta_mfcc_4_std,3.436829214210092,3.0749350616180973,2.114807538820687,1.2278667218689212,-0.20928032828446136,0.20928032828446136,0.13971825694037054,19024,8331
delta2_mfcc_22_std,0.6524516202489233,0.7106221545133938,0.2990537593482619,0.25613393648926996,0.20892081674143564,0.20892081674143564,0.09612616890172476,19024,8331
delta2_mfcc_6_mean,0.015193403525278953,0.0008336813314601758,0.07543869962051937,0.06308440959994738,-0.20649806207291296,0.20649806207291296,0.1426840158642233,19024,8331
mfcc_19_std,6.962711582043348,7.480349272239138,2.820452856122102,2.2982864794651983,0.20119983086892437,0.20119983086892437,0.08378340889191613,19024,8331
delta2_mfcc_5_mean,0.025154593338919302,0.008482190016106329,0.08841147511875752,0.07769033668659842,-0.200324122914613,0.200324122914613,0.15040067400537416,19024,8331
delta_mfcc_12_std,1.4543028064360968,1.5858745552342761,0.7107838813461363,0.607109949943511,0.19904669443858322,0.19904669443858322,0.11438170728173946,19024,8331
delta2_mfcc_23_std,0.6484665420872556,0.7030272482072816,0.29712484113676485,0.2490221090209708,0.19902378925534484,0.19902378925534484,0.09546198377093104,19024,8331
delta_mfcc_37_std,0.7569322479213509,0.6927192756234741,0.3917241622275071,0.24425901373723466,-0.19670710607643205,0.19670710607643205,0.08804654537921586,19024,8331
delta2_mfcc_15_std,0.8293497211404013,0.8994869280335082,0.39895617654276383,0.308927810872793,0.19656911904598756,0.19656911904598756,0.1425490790070505,19024,8331
delta2_mfcc_15_mean,0.01480500369314318,0.006751668566712623,0.041619064653697684,0.04071356545388849,-0.1956090459538591,0.1956090459538591,0.16093911257305116,19024,8331
mfcc_30_std,5.009797409805019,4.601781488031904,2.5685443329382025,1.5483027118238244,-0.19239083612932284,0.19239083612932284,0.0777544773091553,19024,8331
delta2_mfcc_20_mean,0.006338511135450557,3.777472535181116e-06,0.03273817812636506,0.03355189645625671,-0.1910989103368983,0.1910989103368983,0.14597829612644775,19024,8331
delta2_mfcc_13_mean,0.015939123225868233,0.0071120348535805185,0.04660333856452527,0.0466921559684786,-0.18922035268039258,0.18922035268039258,0.15707124025004549,19024,8331
delta2_mfcc_23_mean,0.00949559475975341,0.003544775451927161,0.03209187323927105,0.03102771064460746,-0.1885221676475139,0.1885221676475139,0.14927889228664426,19024,8331
mfcc_21_std,6.442687137041059,6.883338256967467,2.59865071044947,2.0974015486566806,0.1866013440105883,0.1866013440105883,0.08153228025798445,19024,8331
mfcc_6_std,13.593106225012317,12.531648368297999,6.8381007748201705,4.428697402402965,-0.18424950994737432,0.18424950994737432,0.13282942941433185,19024,8331
delta2_mfcc_10_mean,0.01081671313005159,0.0016411753654359382,0.05197719666062321,0.049970158187846475,-0.17996289176740227,0.17996289176740227,0.1430676830050681,19024,8331
delta2_mfcc_13_std,0.9123941307575688,0.9831136453088742,0.4451770742907378,0.34894236436056797,0.17680750643215343,0.17680750643215343,0.13019075324269938,19024,8331
delta2_mfcc_9_mean,0.01912250361826917,0.008894909078756853,0.059360475387962644,0.05748440346114246,-0.17503275847224287,0.17503275847224287,0.15897525949822722,19024,8331
delta2_mfcc_38_std,0.4983114345060192,0.4614575547455146,0.2547567788838726,0.15617131226618858,-0.17441353315603492,0.17441353315603492,0.08828051122607017,19024,8331
