auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method,source_rows,external_rows,n_features,feature_strategy,validation_rows,dataset,train_rows,test_rows
0.8043576428087604,0.7169128559943263,0.6574170241589523,0.4932432432432432,0.3543689320388349,0.9604651162790696,0.168373277801338,0.0898597028645582,0.5162536232624119,0.5,636.0,random_forest,cough,calibration_metrics,platt,,,,,,,,,
0.7564732445247234,0.6171794922297267,0.6518491758862046,0.4962779156327543,0.3883495145631068,0.9153488372093024,0.1787283005329163,0.0478898466110749,0.5383071137032497,0.5,1590.0,random_forest,speech,calibration_metrics,platt,,,,,,,,,
0.8809663580943781,0.841295368733407,0.8230300293519982,0.7596153846153846,0.7669902912621359,0.8790697674418605,0.1895462555728317,0.1532617426737061,0.5643754026718311,0.3451894013149713,318.0,,,fusion_metrics,,uniform_mean,,,,,,,,
0.8818243395800406,0.8440110912308308,0.8131180853465794,0.7487684729064039,0.7378640776699029,0.8883720930232558,0.1893929159629947,0.1530395202006769,0.5640440598292648,0.3480432898213404,318.0,,,fusion_metrics,,validation_weighted_auprc,,,,,,,,
0.8786633551591781,0.8323612863208201,0.8044253781892075,0.7314814814814815,0.7669902912621359,0.8418604651162791,0.1895429852316182,0.1503736522927271,0.5644110543586498,0.3423055152143882,318.0,,,quality_weighted_fusion_metrics,,quality_weighted_auprc,,,,,,,,
0.9363078363981502,0.921685319277493,0.8905923082712426,0.8537248504622077,0.8468176914778857,0.9343669250645996,0.0740908914761788,0.0747664600406287,0.2687286414374227,0.5,2862.0,metadata_logistic_regression,metadata,metadata_baseline_metrics,,,,,,,,,,
0.5294796150206488,0.04300733927452,0.5225754542956945,0.0713128038897893,0.231578947368421,0.8135719612229679,0.1511964385379642,0.2797554240043786,0.4721379258247821,0.5,8331.0,logistic_regression,cough,cross_dataset_metrics,,,2957.0,8331.0,253.0,,,,,
0.5098656409853867,0.0379539428011989,0.5131022933919437,0.066543438077634,0.3157894736842105,0.7104151130996769,0.0845484539357414,0.2022324128991048,0.3225005932833804,0.2660238683208268,8331.0,logistic_regression,cough,external_model_grid_metrics,platt,,2957.0,8331.0,253.0,all,634.0,,,
0.4827622748145531,0.0356643059124922,0.4909075447754359,0.0582990397805212,0.2982456140350877,0.6835694755157843,0.118836814479952,0.2710336683370878,0.4086301898256503,0.3534633224048336,8331.0,logistic_regression,cough,external_model_grid_metrics,platt,,2957.0,8331.0,232.0,drop_high_shift,634.0,,,
0.534794231414978,0.0421759634825796,0.5318576082263825,0.0724191063174114,0.4947368421052631,0.5689783743475019,0.1150922525272575,0.2845118970349549,0.4107957820421467,0.3207823601932191,8331.0,logistic_regression,cough,external_model_grid_metrics,platt,,2957.0,8331.0,50.0,top_stable_50,634.0,,,
0.5184517969046405,0.0386378147088776,0.4952948179546554,0.0576419213973799,0.231578947368421,0.7590106885408899,0.1109150120105246,0.2613305537382811,0.3917482657827385,0.3584202176063816,8331.0,logistic_regression,cough,external_model_grid_metrics,platt,,2957.0,8331.0,80.0,top_stable_80,634.0,,,
0.515641203431148,0.0370843266391158,0.5166516215968706,0.0681313255986176,0.4842105263157895,0.5490927168779518,0.1104817696961941,0.2580396562297406,0.3893564582760127,0.2869522695000375,8331.0,logistic_regression,cough,external_model_grid_metrics,platt,,2957.0,8331.0,120.0,top_stable_120,634.0,,,
0.5239661420516242,0.0394524229886067,0.5083787956094562,0.0641399416909621,0.2701754385964912,0.7465821526224211,0.1020395622473419,0.2506751959451328,0.3737168660545923,0.3327724666743353,8331.0,random_forest,cough,external_model_grid_metrics,platt,,2957.0,8331.0,253.0,all,634.0,,,
0.5185512251919882,0.0369936187843959,0.495628426024046,0.0541176470588235,0.1614035087719298,0.8298533432761621,0.1120108968128678,0.2694194626638824,0.3979243626580809,0.3824652386850184,8331.0,random_forest,cough,external_model_grid_metrics,platt,,2957.0,8331.0,232.0,drop_high_shift,634.0,,,
0.4977615552677368,0.0358812821109512,0.4984968012873346,0.0637972471050906,0.512280701754386,0.4847129008202833,0.116809646325285,0.2848951702835671,0.4135386187980328,0.3094694597543871,8331.0,random_forest,cough,external_model_grid_metrics,platt,,2957.0,8331.0,50.0,top_stable_50,634.0,,,
0.4902948397591045,0.0335114108045896,0.4875701558145924,0.0551558752997601,0.2421052631578947,0.7330350484712901,0.1100924561162853,0.2694639098607871,0.3958907274181202,0.3370068104859609,8331.0,random_forest,cough,external_model_grid_metrics,platt,,2957.0,8331.0,80.0,top_stable_80,634.0,,,
0.4888631596390927,0.0337831166888444,0.4931185159019846,0.0621833256563795,0.4736842105263157,0.5125528212776534,0.1118241797395279,0.273723947789373,0.4006312815909227,0.3039138851335324,8331.0,random_forest,cough,external_model_grid_metrics,platt,,2957.0,8331.0,120.0,top_stable_120,634.0,,,
0.5081790668568015,0.0368262637328532,0.5052010152151445,0.0639269406392694,0.343859649122807,0.666542381307482,0.1064869870620157,0.2312039731620879,0.3693080216136242,0.3010155870455522,8331.0,xgboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,253.0,all,634.0,,,
0.5000682479253067,0.0394009604711513,0.5165436895744208,0.0678936605316973,0.2912280701754386,0.7418593089734029,0.1193448485375396,0.2643597503525356,0.4055522024206566,0.3767273651291042,8331.0,xgboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,232.0,drop_high_shift,634.0,,,
0.4840587673508903,0.0361194918869153,0.4725898452320211,0.0601628718630546,0.6350877192982456,0.3100919711657967,0.1200360614450344,0.2863756528425152,0.4189658568254478,0.2824301147991639,8331.0,xgboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,50.0,top_stable_50,634.0,,,
0.4801204477761642,0.0418623301245346,0.4847279458900794,0.0586494484799569,0.3824561403508772,0.5869997514292816,0.1131724628403887,0.2635700060947852,0.39662756271411,0.3099795985009346,8331.0,xgboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,80.0,top_stable_80,634.0,,,
0.4843077741582393,0.0419607094857309,0.4967711971950757,0.0634441087613293,0.5157894736842106,0.4777529207059408,0.1160253465218453,0.2677522547853644,0.4027917502269364,0.2821662411574381,8331.0,xgboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,120.0,top_stable_120,634.0,,,
0.5182298276140264,0.0385892219005183,0.4988847024346847,0.05901044030867,0.2280701754385964,0.7696992294307731,0.0989713120226698,0.2150364516651288,0.351582859604333,0.2987352634530213,8331.0,lightgbm,cough,external_model_grid_metrics,platt,,2957.0,8331.0,253.0,all,634.0,,,
0.5157044363331894,0.0381700680715404,0.520081897510368,0.0693240901213171,0.3508771929824561,0.6892866020382798,0.1162659414189607,0.2555687426219727,0.3971071576387792,0.3122002436099536,8331.0,lightgbm,cough,external_model_grid_metrics,platt,,2957.0,8331.0,232.0,drop_high_shift,634.0,,,
0.4976651796032462,0.0403034527652617,0.5067670107408716,0.0658593584023794,0.543859649122807,0.4696743723589361,0.1187456078627908,0.2803437584066432,0.4135170062705907,0.2870243104360724,8331.0,lightgbm,cough,external_model_grid_metrics,platt,,2957.0,8331.0,50.0,top_stable_50,634.0,,,
0.4949854128236325,0.0414076926681148,0.4880829964545966,0.0584830947304294,0.3368421052631579,0.6393238876460353,0.1135047344720784,0.2629747577605771,0.3970515583408945,0.3069820453977334,8331.0,lightgbm,cough,external_model_grid_metrics,platt,,2957.0,8331.0,80.0,top_stable_80,634.0,,,
0.4957873804571084,0.0420659392304115,0.5036585684943156,0.0645484113084813,0.4526315789473684,0.5546855580412627,0.11498939038233,0.2657390937014322,0.4006702868250605,0.2795477317816287,8331.0,lightgbm,cough,external_model_grid_metrics,platt,,2957.0,8331.0,120.0,top_stable_120,634.0,,,
0.5263009624483779,0.0392784017133051,0.5172841686617737,0.0682027649769585,0.2596491228070175,0.7749192145165299,0.1040523544058263,0.2310473766447642,0.3652794274531708,0.355505753009242,8331.0,catboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,253.0,all,634.0,,,
0.5139269376523585,0.0409388853033161,0.5248047411593861,0.0711997152011392,0.3508771929824561,0.6987322893363161,0.1185467819627851,0.2626305115440639,0.4031283459025636,0.3524585952061172,8331.0,catboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,232.0,drop_high_shift,634.0,,,
0.4860743706145802,0.0369196978705184,0.5045985582898335,0.0635876840696117,0.3333333333333333,0.6758637832463336,0.1210895426536422,0.2861552418384283,0.4202106645520116,0.3514102212065084,8331.0,catboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,50.0,top_stable_50,634.0,,,
0.488048109336229,0.0422402218497892,0.485326478014574,0.0601118359739049,0.4526315789473684,0.5180213770817798,0.1160096935178457,0.2680210814510338,0.4028175242161593,0.2946697899285819,8331.0,catboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,80.0,top_stable_80,634.0,,,
0.4876988020635731,0.0444001811476518,0.4796001936235069,0.0593330446080554,0.4807017543859649,0.478498632861049,0.1173803182068357,0.2707597761345658,0.4062479582589214,0.2861506597550864,8331.0,catboost,cough,external_model_grid_metrics,platt,,2957.0,8331.0,120.0,top_stable_120,634.0,,,
0.71441647597254,0.1375711164610783,0.617434891576768,0.1219512195121951,0.4385964912280701,0.7962732919254658,0.032041624423818,0.0058838367509319,0.1393500427142996,0.0328020080023991,1667.0,logistic_regression,cough,coughvid_internal_metrics,platt,,,,253.0,all,1666.0,coughvid,4998.0,1667.0
0.7670153644982021,0.1198905771763102,0.7149340743162254,0.1655480984340044,0.6491228070175439,0.7807453416149068,0.0329474528392586,9.200824352220692e-05,0.1479020413772743,0.0344878408344059,1667.0,random_forest,cough,coughvid_internal_metrics,platt,,,,253.0,all,1666.0,coughvid,4998.0,1667.0
0.7542225128037484,0.1378738871885409,0.6855072463768116,0.1330998248686515,0.6666666666666666,0.7043478260869566,0.0319477527699977,0.0025148435599472,0.1385999770318142,0.0301802322378278,1667.0,xgboost,cough,coughvid_internal_metrics,platt,,,,253.0,all,1666.0,coughvid,4998.0,1667.0
0.78093058733791,0.1778056087775096,0.6977824997275799,0.1797752808988764,0.5614035087719298,0.8341614906832299,0.0328498841911577,5.9915241363055205e-05,0.1470271025701849,0.0339649225630931,1667.0,lightgbm,cough,coughvid_internal_metrics,platt,,,,253.0,all,1666.0,coughvid,4998.0,1667.0
0.7521630162362428,0.1341363167464302,0.679443173150267,0.1148825065274151,0.7719298245614035,0.5869565217391305,0.032414065433896,0.0006087019139408,0.1424845469117705,0.0312147486989703,1667.0,catboost,cough,coughvid_internal_metrics,platt,,,,253.0,all,1666.0,coughvid,4998.0,1667.0
