table_source,evaluation_protocol,analysis_family,model_name,modality,modality_combination,feature_strategy,base_feature_set,ablation_name,removed_features,fusion_method,dataset,split,audit_model,control_method,prediction_source,calibration_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
calibration_under_shift_summary,,,catboost,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.121,0.286,0.420
calibration_under_shift_summary,,,catboost,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.116,0.268,0.403
calibration_under_shift_summary,,,lightgbm,cough,,all,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.099,0.215,0.352
calibration_under_shift_summary,,,lightgbm,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.116,0.256,0.397
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.115,0.266,0.401
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.119,0.280,0.414
calibration_under_shift_summary,,,lightgbm,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.114,0.263,0.397
calibration_under_shift_summary,,,logistic_regression,cough,,all,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.085,0.202,0.323
calibration_under_shift_summary,,,logistic_regression,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.119,0.271,0.409
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.110,0.258,0.389
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.115,0.285,0.411
calibration_under_shift_summary,,,logistic_regression,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.111,0.261,0.392
calibration_under_shift_summary,,,random_forest,cough,,all,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.102,0.251,0.374
calibration_under_shift_summary,,,random_forest,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.112,0.269,0.398
calibration_under_shift_summary,,,random_forest,cough,,top_stable_120,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.112,0.274,0.401
calibration_under_shift_summary,,,random_forest,cough,,top_stable_50,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.117,0.285,0.414
calibration_under_shift_summary,,,random_forest,cough,,top_stable_80,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.110,0.269,0.396
calibration_under_shift_summary,,,xgboost,cough,,all,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.106,0.231,0.369
calibration_under_shift_summary,,,xgboost,cough,,drop_high_shift,,,,,coughvid,external,,,external_model_grid_predictions,platt,8331,,,,,,,0.119,0.264,0.406
