prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,threshold_probability,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,prevalence,n_samples,n_positive,n_negative
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,0.5,0.06397306397306396,-0.3737373737373737,0.0,0.43771043771043766,0.06397306397306396,0.31313131313131315,297,93,204
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.05,0.28728070175438597,0.2881241565452092,0.0,-0.000843454790823206,0.28728070175438597,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.1,0.25462962962962965,0.2485754985754986,0.0,0.006054131054131051,0.25462962962962965,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.15,0.2241704374057315,0.20437405731523378,0.0,0.019796380090497723,0.2241704374057315,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.2,0.19791666666666666,0.1546474358974359,0.0,0.043269230769230754,0.19791666666666666,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.25,0.18055555555555555,0.0982905982905983,0.0,0.08226495726495725,0.18055555555555555,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.3,0.16254578754578755,0.03388278388278387,0.0,0.12866300366300368,0.16254578754578755,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.35,0.14521696252465482,-0.04043392504930965,0.0,0.18565088757396447,0.14521696252465482,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.4,0.13034188034188032,-0.12713675213675218,0.0,0.2574786324786325,0.13034188034188032,0.32371794871794873,312,101,211
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,0.45,0.10023310023310024,-0.2296037296037296,0.0,0.3298368298368298,0.10023310023310024,0.32371794871794873,312,101,211
