evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,audit_model,specification_rank,n_specifications_in_protocol,auroc,auprc,balanced_accuracy,f1,n_samples,n_participants,table_source
clean_internal_protocol,strong_feature_level_fusion,logistic_smote_f80,multimodal,,breath+speech,,,,test,,94,95,0.7566045704096476,0.6025674021212946,0.6753319881751209,0.56,312.0,312.0,strong_baseline_metrics
clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,,breath+speech,,,,test,,95,95,0.7476420627844775,0.5786322045462214,0.6778658908544883,0.576271186440678,312.0,312.0,strong_baseline_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,test,,1,70,0.8971050684424714,0.8627298641826996,0.824685534591195,0.7522123893805309,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,validation_weighted_auprc,compare_is10_top800_lightgbm,800.0,test,,2,70,0.8963651498335183,0.862871041416546,0.820338512763596,0.7435897435897436,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,test,,3,70,0.8952184317957862,0.8531718055968112,0.8186851860541504,0.7433628318584071,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,test,,4,70,0.8949315575286718,0.8615595741192886,0.8083610802811692,0.7288135593220338,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,validation_weighted_auprc,compare_is10_top800_lightgbm,800.0,test,,5,70,0.8935760874665666,0.8515286029087297,0.801886349772418,0.7217391304347827,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,test,,6,70,0.8902913988081272,0.8319594876340013,0.8057810520388532,0.7314814814814815,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,cough+breath+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,test,,7,70,0.8900098540659752,0.8471006072858286,0.7900380085401905,0.7063829787234043,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,validation_weighted_auprc,compare_is10_top800_lightgbm,800.0,test,,8,70,0.8885552062315237,0.8286668167011962,0.8199990615175261,0.7523809523809524,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,,,,compare_is10_top800_lightgbm,800.0,test,,9,70,0.8883185349611543,0.8330769875954839,0.8090547539770625,0.7403846153846154,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,cough+breath+speech,,compare_is10_top800_lightgbm,800.0,test,,10,70,0.887100558397072,0.8406571404242236,0.8040917835859416,0.7395833333333334,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,speech,,,,compare_is10_top800_lightgbm,800.0,test,,11,70,0.8865612282648909,0.8316510023124515,0.8117832038475767,0.7417840375586855,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,cough+speech,,compare_is10_top800_lightgbm,800.0,test,,12,70,0.8860062893081762,0.8298155219207094,0.8184887162412134,0.7549019607843137,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,,breath+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,test,,13,70,0.8855520623152363,0.8238021091861585,0.7943550279198537,0.7136563876651982,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,xgboost_smote_f80,multimodal,,cough+breath+speech,,compare_is10_top800_lightgbm,800.0,test,,14,70,0.8854582140678524,0.836817103915041,0.815893200694477,0.7420814479638009,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,speech,,,,compare_is10_top800_lightgbm,800.0,test,,15,70,0.8838327783943766,0.8260584648342273,0.8127081021087681,0.7368421052631579,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,svc_rbf_f60,multimodal,,cough+speech,,compare_is10_top800_lightgbm,800.0,test,,16,70,0.8836015538290788,0.8327915388943042,0.8239456159822419,0.7570093457943925,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,svc_rbf_f60,multimodal,,cough+breath+speech,,compare_is10_top800_lightgbm,800.0,test,,17,70,0.8826896907700249,0.8171524791255217,0.806672610389001,0.7422680412371134,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_audio_modality,xgboost_smote_f80,speech,,,,compare_is10_top800_lightgbm,800.0,test,,18,70,0.8823529411764706,0.8233908090728447,0.7972623011468738,0.7230046948356808,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,cough+breath,,compare_is10_top800_lightgbm,800.0,test,,19,70,0.8793111538642016,0.8256082040263131,0.8178405518276947,0.7476635514018691,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,catboost_smote_f80,multimodal,,cough+breath+speech,,compare_is10_top800_lightgbm,800.0,test,,20,70,0.8786542161325137,0.8350085751169777,0.8227910468771996,0.7534883720930232,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,xgboost_smote_f80,multimodal,,cough+speech,,compare_is10_top800_lightgbm,800.0,test,,21,70,0.8784221235664078,0.8284117891869528,0.8084998150203477,0.7437185929648241,314.0,314.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,svc_rbf_f60,multimodal,,cough+breath,,compare_is10_top800_lightgbm,800.0,test,,22,70,0.8758387687109943,0.7820013856044264,0.7997278400825865,0.717948717948718,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_feature_level_fusion,lightgbm_smote_f80,multimodal,,breath+speech,,compare_is10_top800_lightgbm,800.0,test,,23,70,0.8734925625263948,0.7744033105724895,0.8001970813195063,0.7281553398058253,312.0,312.0,compare_is10_final_validation_metrics
compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,,,,compare_is10_top800_lightgbm,800.0,test,,24,70,0.8723177950425454,0.8099032041906784,0.7901868294487606,0.7129629629629629,314.0,314.0,compare_is10_final_validation_metrics
