table_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,threshold,sensitivity,specificity,precision,npv,f1,balanced_accuracy,tp,fp,tn,fn,n_samples,n_positive,n_negative,operating_constraint,target_specificity,target_sensitivity
coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test,0.0353828469981269,0.15789473684210525,0.9503105590062112,0.10112359550561797,0.9695817490494296,0.12328767123287672,0.5541026479241582,9.0,80.0,1530.0,48.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test,0.0338681356808326,0.8070175438596491,0.2956521739130435,0.03898305084745763,0.9774127310061602,0.07437348423605497,0.5513348588863463,46.0,1134.0,476.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_panns_predictions,random_forest,cough,all,,coughvid,platt,test,0.033793145034954,0.9122807017543859,0.21490683229813665,0.03951367781155015,0.9857549857549858,0.07574654042243262,0.5635937670262613,52.0,1264.0,346.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test,0.0380523522950139,0.43859649122807015,0.8012422360248447,0.07246376811594203,0.9757942511346445,0.12437810945273631,0.6199193636264574,25.0,320.0,1290.0,32.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test,0.0450562473943792,0.22807017543859648,0.9,0.07471264367816093,0.97052913596785,0.11255411255411256,0.5640350877192982,13.0,161.0,1449.0,44.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test,0.0534175194934273,0.07017543859649122,0.9521739130434783,0.04938271604938271,0.9665825977301387,0.05797101449275362,0.5111746758199848,4.0,77.0,1533.0,53.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test,0.0287335661419015,0.8070175438596491,0.277639751552795,0.0380479735318445,0.9759825327510917,0.07266982622432859,0.542328647706222,46.0,1163.0,447.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_panns_predictions,xgboost,cough,all,,coughvid,platt,test,0.0280216604621961,0.9122807017543859,0.18074534161490682,0.03792851932895697,0.9831081081081081,0.07282913165266107,0.5465130216846463,52.0,1319.0,291.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test,0.0339262256051703,0.5087719298245614,0.8062111801242235,0.08504398826979472,0.9788838612368024,0.1457286432160804,0.6574915549743925,29.0,312.0,1298.0,28.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test,0.042723132120299,0.3508771929824561,0.937888198757764,0.16666666666666666,0.9760827407886231,0.22598870056497175,0.64438269587011,20.0,100.0,1510.0,37.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test,0.0454053701763909,0.2807017543859649,0.9503105590062112,0.16666666666666666,0.973901973265436,0.20915032679738563,0.615506156696088,16.0,80.0,1530.0,41.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test,0.0310673785170404,0.8070175438596491,0.5608695652173913,0.06108897742363878,0.9879649890590809,0.11358024691358025,0.6839435545385202,46.0,707.0,903.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_predictions,catboost,cough,all,,coughvid,platt,test,0.030681789790317,0.9122807017543859,0.45652173913043476,0.05609492988133765,0.9932432432432432,0.1056910569105691,0.6844012204424104,52.0,875.0,735.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0339300404281341,0.5964912280701754,0.8105590062111802,0.10029498525073746,0.9826807228915663,0.1717171717171717,0.7035251171406778,34.0,305.0,1305.0,23.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0341750000483261,0.49122807017543857,0.9006211180124224,0.14893617021276595,0.9803921568627451,0.22857142857142856,0.6959245940939305,28.0,160.0,1450.0,29.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0348512695604425,0.2807017543859649,0.9509316770186336,0.16842105263157894,0.9739185750636132,0.2105263157894737,0.6158167157022992,16.0,79.0,1531.0,41.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0338129789996726,0.8070175438596491,0.6024844720496895,0.06705539358600583,0.9887869520897044,0.12382234185733514,0.7047510079546693,46.0,640.0,970.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_predictions,lightgbm,cough,all,,coughvid,platt,test,0.033787343301594,0.9122807017543859,0.32236024844720496,0.045494313210848646,0.9904580152671756,0.08666666666666667,0.6173204751007955,52.0,1091.0,519.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0359590955782197,0.43859649122807015,0.815527950310559,0.07763975155279502,0.9762081784386617,0.13192612137203166,0.6270622207693146,25.0,297.0,1313.0,32.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0601268821814771,0.3508771929824561,0.9055900621118013,0.11627906976744186,0.9752508361204013,0.17467248908296945,0.6282336275471287,20.0,152.0,1458.0,37.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.1052740865056795,0.2807017543859649,0.9664596273291925,0.22857142857142856,0.9743268628678773,0.25196850393700787,0.6235806908575787,16.0,54.0,1556.0,41.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0211759539554181,0.8070175438596491,0.46956521739130436,0.051111111111111114,0.9856584093872229,0.09613375130616511,0.6382913806254767,46.0,854.0,756.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0208011132274907,0.9122807017543859,0.35714285714285715,0.04783808647654094,0.9913793103448276,0.09090909090909091,0.6347117794486216,52.0,1035.0,575.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_predictions,random_forest,cough,all,,coughvid,platt,test,0.0346473747416153,0.6140350877192983,0.8093167701863354,0.1023391812865497,0.9833962264150944,0.17543859649122803,0.7116759289528168,35.0,307.0,1303.0,22.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_predictions,random_forest,cough,all,,coughvid,platt,test,0.0354046283612893,0.3508771929824561,0.9006211180124224,0.1111111111111111,0.9751176866173503,0.16877637130801687,0.6257491554974393,20.0,160.0,1450.0,37.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
