recalibration_method,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins,abs_calibration_gap,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,threshold,prediction_source,model_name,modality,feature_strategy,dataset,calibration_method,split,source_prevalence_for_offset,target_prevalence_for_offset,prevalence_offset
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04163068167932299,0.007421102997292019,0.010366050172859619,0.10088364260660398,0.034378934574958935,0.16050130958850742,10,3,0.007421102997292019,0.5114120125070319,0.03531652808255002,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,xgboost,cough,top_stable_50,coughvid,platt,external,0.30952700663325405,0.03420957868203097,-2.538109659092778
source_calibrated,8331,285,8046,0.03420957868203097,0.31037533032696635,0.2761657516449354,0.2761657516449354,0.7201269237875612,0.13901703388582673,0.4427864857519859,10,8,0.2761657516449354,0.49065679361216863,0.03240301230891503,0.4866700681607075,0.14385964912280702,0.829480487198608,0.048292108362779744,0.5,external_model_grid_beats_predictions,xgboost,cough,top_stable_80,coughvid,platt,external,0.31037533032696635,0.03420957868203097,-2.542075987754844
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04232461989803308,0.008115041216002108,0.012661480987005714,0.17764426031659475,0.034790734928329965,0.1635696753358154,10,3,0.008115041216002108,0.49065679361216863,0.03240301230891503,0.5,0.0,1.0,0.0,0.5,external_model_grid_beats_predictions,xgboost,cough,top_stable_80,coughvid,platt,external,0.31037533032696635,0.03420957868203097,-2.542075987754844
source_calibrated,8331,285,8046,0.03420957868203097,0.2573183526085574,0.22310877392652642,0.22310877392652645,0.6741801200030157,0.10154574039415973,0.3582189005498976,10,8,0.22310877392652642,0.5135933295829681,0.03793867526081289,0.503251697476353,0.08070175438596491,0.9258016405667412,0.05082872928176796,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,all,coughvid,platt,external,0.2573183526085574,0.03420957868203097,-2.2804877329433704
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.039525989588441175,0.005316410906410204,0.007955007552374133,0.15650585170065232,0.034127029706713344,0.15780938880262724,10,3,0.005316410906410204,0.5135933295829681,0.03793867526081289,0.5,0.0,1.0,0.0,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,all,coughvid,platt,external,0.2573183526085574,0.03420957868203097,-2.2804877329433704
source_calibrated,8331,285,8046,0.03420957868203097,0.2479472235365481,0.21373764485451713,0.21373764485451718,0.6764206653715357,0.09505510658252181,0.34347837025620154,10,8,0.21373764485451713,0.5158431126287008,0.03475189890651261,0.4910854690791109,0.03859649122807018,0.9435744469301516,0.029333333333333333,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,drop_high_shift,coughvid,platt,external,0.2479472235365481,0.03420957868203097,-2.230850584484199
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.038566663462276655,0.004357084780245685,0.007195261922312035,0.17298843758807214,0.03401511840567132,0.15697760516745485,10,3,0.004357084780245685,0.5158431126287008,0.03475189890651261,0.5,0.0,1.0,0.0,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,drop_high_shift,coughvid,platt,external,0.2479472235365481,0.03420957868203097,-2.230850584484199
source_calibrated,8331,285,8046,0.03420957868203097,0.2556359816374405,0.22142640295540952,0.22147343228409916,0.6697763403534068,0.10263636498485923,0.358969885240252,10,9,0.22142640295540952,0.5118703420245867,0.040588890325228735,0.4901297800803276,0.06315789473684211,0.9171016654238131,0.03711340206185567,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_120,coughvid,platt,external,0.2556359816374405,0.03420957868203097,-2.271665470894999
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.04012133926454925,0.005911760582518279,0.01040369665966637,0.13934786498591384,0.0342996470145335,0.15900538838334669,10,3,0.005911760582518279,0.5118703420245867,0.040588890325228735,0.5,0.0,1.0,0.0,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_120,coughvid,platt,external,0.2556359816374405,0.03420957868203097,-2.271665470894999
source_calibrated,8331,285,8046,0.03420957868203097,0.2793484681891056,0.2451388895070746,0.2451388895070746,0.6261284947495146,0.10728399984163549,0.3767552320604443,10,7,0.2451388895070746,0.5448779168901623,0.03748055269934468,0.49668812224446274,0.056140350877192984,0.9372358936117325,0.03970223325062035,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_50,coughvid,platt,external,0.2793484681891056,0.03420957868203097,-2.392745456525456
target_prevalence_intercept,8331,285,8046,0.03420957868203097,0.03790260622870104,0.003693027546670072,0.0036930275466700623,0.09788748736609804,0.033581933698956276,0.15321888104084966,10,2,0.003693027546670072,0.5448779168901623,0.03748055269934468,0.5,0.0,1.0,0.0,0.5,external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_50,coughvid,platt,external,0.2793484681891056,0.03420957868203097,-2.392745456525456
