representation,modality,feature,coefficient,importance_abs,direction
beats,cough,beats_official_dim_0568,0.24255500152439807,0.24255500152439807,external_domain
beats,cough,beats_official_dim_0137,0.24143951223431884,0.24143951223431884,external_domain
beats,cough,beats_official_dim_0430,0.24090908904004277,0.24090908904004277,external_domain
beats,cough,beats_official_dim_0342,-0.24069250502264739,0.24069250502264739,source_domain
beats,cough,beats_official_dim_0377,-0.24002473383424308,0.24002473383424308,source_domain
beats,cough,beats_official_dim_0020,0.23850537027625984,0.23850537027625984,external_domain
beats,cough,beats_official_dim_0406,-0.23807653277160531,0.23807653277160531,source_domain
beats,cough,beats_official_dim_0359,-0.23657423658342028,0.23657423658342028,source_domain
beats,cough,beats_official_dim_0727,-0.2353589590061026,0.2353589590061026,source_domain
beats,cough,beats_official_dim_0257,-0.2350098465587946,0.2350098465587946,source_domain
beats,cough,beats_official_dim_0499,-0.2346433967315453,0.2346433967315453,source_domain
beats,cough,beats_official_dim_0432,-0.23439119682552992,0.23439119682552992,source_domain
beats,cough,beats_official_dim_0459,-0.23302895657547198,0.23302895657547198,source_domain
beats,cough,beats_official_dim_0348,-0.23258672617983994,0.23258672617983994,source_domain
beats,cough,beats_official_dim_0355,0.23170691021905648,0.23170691021905648,external_domain
beats,cough,beats_official_dim_0082,0.2312100925004929,0.2312100925004929,external_domain
beats,cough,beats_official_dim_0489,-0.2306090261627849,0.2306090261627849,source_domain
beats,cough,beats_official_dim_0297,-0.2300340304086915,0.2300340304086915,source_domain
beats,cough,beats_official_dim_0599,-0.22999460538095745,0.22999460538095745,source_domain
beats,cough,beats_official_dim_0613,-0.22998592557135245,0.22998592557135245,source_domain
beats,cough,beats_official_dim_0603,-0.22888336627959366,0.22888336627959366,source_domain
beats,cough,beats_official_dim_0390,0.22828078542356547,0.22828078542356547,external_domain
beats,cough,beats_official_dim_0495,0.22813983278884678,0.22813983278884678,external_domain
beats,cough,beats_official_dim_0582,0.22748867532055514,0.22748867532055514,external_domain
beats,cough,beats_official_dim_0306,0.22694066605737429,0.22694066605737429,external_domain
beats,cough,beats_official_dim_0509,0.22622128046747209,0.22622128046747209,external_domain
beats,cough,beats_official_dim_0615,0.22620692425761937,0.22620692425761937,external_domain
beats,cough,beats_official_dim_0278,-0.22612156129900501,0.22612156129900501,source_domain
beats,cough,beats_official_dim_0569,0.22369637654756683,0.22369637654756683,external_domain
beats,cough,beats_official_dim_0070,-0.221165159360518,0.221165159360518,source_domain
beats,cough,beats_official_dim_0741,-0.220565129013689,0.220565129013689,source_domain
beats,cough,beats_official_dim_0011,0.22007603364573805,0.22007603364573805,external_domain
beats,cough,beats_official_dim_0620,0.21888706078161424,0.21888706078161424,external_domain
beats,cough,beats_official_dim_0754,-0.21878431682772453,0.21878431682772453,source_domain
beats,cough,beats_official_dim_0281,-0.21864439248949413,0.21864439248949413,source_domain
