feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank
is10__opensmile_is10_logMelFreqBand_sma_de_0_maxPos,0.028172547396984816,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,150
strong__mel_band_40_q75,0.028161155480707425,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,151
compare2016__opensmile_compare2016_pcm_fftMag_spectralSkewness_sma_iqr2_3,0.028042123019419742,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,152
strong__delta2_mfcc_17_skew,0.0278956838815671,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,153
compare2016__opensmile_compare2016_mfcc_sma_de_8_meanRisingSlope,0.027742462392045225,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,154
strong__mfcc_07_mean,0.027588980394836635,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,155
strong__spectral_contrast_07_q75,0.027432291790827665,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,156
strong__mel_band_59_kurtosis,0.02740766875525401,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,157
compare2016__opensmile_compare2016_pcm_RMSenergy_sma_upleveltime25,0.02738594798938424,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,158
strong__mfcc_10_mean,0.027159263671658485,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,159
strong__mfcc_04_max,0.027092209117717005,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,160
strong__mfcc_17_max,0.026888466026825725,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,161
strong__mel_band_01_min,0.026793533530491385,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,162
strong__spectral_centroid_max,0.026684245655176585,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,163
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_15_lpc1,0.02654153262463292,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,164
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_15_meanPeakDist,0.02622381415386245,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,165
strong__delta_mfcc_11_kurtosis,0.02620172082371909,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,166
strong__mfcc_20_q75,0.02617261093896545,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,167
compare2016__opensmile_compare2016_mfcc_sma_6_peakMeanAbs,0.02604916358431898,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,168
compare2016__opensmile_compare2016_mfcc_sma_2_stddevFallingSlope,0.026000939469949427,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,169
strong__mel_band_64_std,0.02582823982777943,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,170
compare2016__opensmile_compare2016_mfcc_sma_de_2_peakDistStddev,0.02579047485717172,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,171
compare2016__opensmile_compare2016_mfcc_sma_3_peakMeanAbs,0.025728434442184905,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,172
is10__opensmile_is10_mfcc_sma_6_percentile1_0,0.02555519478914535,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,173
strong__delta2_mfcc_38_skew,0.025500265088634653,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,174
compare2016__opensmile_compare2016_voicingFinalUnclipped_sma_linregc2,0.025333634015264703,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,175
strong__delta_mfcc_35_max,0.025311240682872892,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,176
compare2016__opensmile_compare2016_pcm_RMSenergy_sma_minRangeRel,0.025295387326357426,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,177
compare2016__opensmile_compare2016_mfcc_sma_4_quartile3,0.025220083691259554,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,178
strong__mfcc_18_min,0.025174982724820744,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,179
compare2016__opensmile_compare2016_pcm_fftMag_fband250_650_sma_risetime,0.024876455236204232,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,180
compare2016__opensmile_compare2016_mfcc_sma_5_percentile1_0,0.024869228378743655,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,181
strong__zcr_max,0.024794766846942148,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,182
is10__opensmile_is10_F0final_sma_linregc1,0.024769830970749227,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,183
compare2016__opensmile_compare2016_mfcc_sma_12_peakMeanAbs,0.024601603508571948,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,184
is10__opensmile_is10_shimmerLocal_sma_de_iqr1_2,0.02454753421802917,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,185
strong__spectral_contrast_05_q75,0.024522320008858636,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,186
strong__mfcc_29_max,0.024504447795718285,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,187
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_7_risetime,0.02445682633395224,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,188
strong__mel_band_39_q75,0.024350558364057816,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,189
strong__mfcc_09_mean,0.024282325059740487,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,190
compare2016__opensmile_compare2016_mfcc_sma_de_4_meanRisingSlope,0.02424856087802174,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,191
strong__mfcc_17_skew,0.02417547776561227,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,192
strong__mel_band_02_std,0.02417523564498694,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,193
compare2016__opensmile_compare2016_mfcc_sma_7_meanPeakDist,0.024096761364760053,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,194
strong__tonnetz_06_mean,0.02401063615252279,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,195
strong__mfcc_23_min,0.023957171273286133,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,196
compare2016__opensmile_compare2016_mfcc_sma_14_percentile1_0,0.02390507006075861,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,197
strong__tonnetz_06_median,0.02373228505592363,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,198
