audit_model,feature,feature_group,existing_importance_abs,existing_coefficient,existing_rank,time_stratified_importance_abs,time_stratified_coefficient,time_stratified_rank,temporal_importance_abs,temporal_coefficient,temporal_rank,delta_temporal_minus_existing,delta_time_stratified_minus_existing
full_safe_metadata,country_Germany,demographic,0.1051668340396613,-0.1051668340396613,43.0,0.1419764968933312,-0.1419764968933312,37.0,0.0467958143665236,0.0467958143665236,44.0,-0.0583710196731377,0.03680966285366989
full_safe_metadata,country_Saudi Arabia,demographic,0.1026149527064225,-0.1026149527064225,44.0,,,,0.0494293396453386,-0.0494293396453386,42.0,-0.0531856130610839,
full_safe_metadata,comorbidities_json_cld,comorbidity_proxy,0.0949727076664054,0.0949727076664054,45.0,0.1242241928558112,0.1242241928558112,41.0,0.080523961871052,-0.080523961871052,35.0,-0.014448745795353407,0.02925148518940579
full_safe_metadata,symptoms_json_diarrhoea,symptom_or_label_proxy,0.094217535636015,-0.094217535636015,46.0,0.7190409995921264,0.7190409995921264,4.0,0.4119468408357238,-0.4119468408357238,14.0,0.3177293051997088,0.6248234639561114
full_safe_metadata,country_Netherlands The,demographic,0.0828456008813839,-0.0828456008813839,47.0,0.1918604436764429,-0.1918604436764429,26.0,0.2395906715075022,-0.2395906715075022,21.0,0.1567450706261183,0.10901484279505899
full_safe_metadata,symptoms_json_bd,symptom_or_label_proxy,0.079054952303511,0.079054952303511,48.0,0.1362755659020655,0.1362755659020655,38.0,0.0345639339035468,0.0345639339035468,50.0,-0.04449101839996421,0.05722061359855449
full_safe_metadata,country_Romania,demographic,0.0764153541432888,-0.0764153541432888,49.0,0.1198915939161978,-0.1198915939161978,42.0,0.0775579210031099,0.0775579210031099,38.0,0.0011425668598211008,0.043476239772909
full_safe_metadata,quality_flag_short,recording_protocol,0.0672510375478463,0.0672510375478463,50.0,0.0299517486894194,-0.0299517486894194,63.0,0.1855076136260202,0.1855076136260202,27.0,0.1182565760781739,-0.0372992888584269
full_safe_metadata,gender_other,demographic,0.0639670746121839,0.0639670746121839,51.0,,,,,,,,
full_safe_metadata,country_Qatar,demographic,0.0592324487166897,-0.0592324487166897,52.0,0.0552693225283961,-0.0552693225283961,57.0,0.0248884053267632,0.0248884053267632,54.0,-0.0343440433899265,-0.0039631261882936
full_safe_metadata,country_Switzerland,demographic,0.0550664718835778,-0.0550664718835778,53.0,0.0590929556668123,-0.0590929556668123,55.0,0.0521816745473819,0.0521816745473819,41.0,-0.002884797336195899,0.004026483783234502
full_safe_metadata,comorbidities_json_ht,comorbidity_proxy,0.0521482739448336,0.0521482739448336,54.0,0.1045455519743852,0.1045455519743852,46.0,0.2295222560195232,-0.2295222560195232,24.0,0.1773739820746896,0.052397278029551596
full_safe_metadata,age,demographic,0.0499324858643888,0.0499324858643888,55.0,0.0158965004398935,0.0158965004398935,64.0,0.7549170746538071,-0.7549170746538071,5.0,0.7049845887894183,-0.034035985424495305
full_safe_metadata,country_Finland,demographic,0.0483057600794599,-0.0483057600794599,56.0,0.0576318964586023,-0.0576318964586023,56.0,0.0425195131401231,0.0425195131401231,46.0,-0.005786246939336798,0.009326136379142397
full_safe_metadata,country_Argentina,demographic,0.0479181592117038,-0.0479181592117038,57.0,0.0450432082164801,-0.0450432082164801,59.0,0.0252400948085506,0.0252400948085506,53.0,-0.022678064403153203,-0.002874950995223703
full_safe_metadata,country_Oman,demographic,0.0426014594151308,-0.0426014594151308,58.0,0.0694097245830539,-0.0694097245830539,53.0,0.0719974554896105,0.0719974554896105,39.0,0.029395996074479708,0.026808265167923104
full_safe_metadata,sample_rate_original,recording_protocol,0.0380576079534586,-0.0380576079534586,59.0,0.1819410408494892,-0.1819410408494892,28.0,0.0437271747068136,-0.0437271747068136,45.0,0.005669566753355004,0.14388343289603062
full_safe_metadata,country_Iran,demographic,0.0238823737620488,-0.0238823737620488,60.0,0.0324253840673819,-0.0324253840673819,62.0,0.0565136578661651,0.0565136578661651,40.0,0.032631284104116295,0.0085430103053331
