bin_index,probability_lower,probability_upper,n_samples,n_positive,n_negative,mean_probability,observed_positive_rate,calibration_gap,abs_calibration_gap,prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split
7,0.7000000000000001,0.8,103,0,103,0.7387002795830484,0.0,0.7387002795830484,0.7387002795830484,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
8,0.8,0.9,2,0,2,0.80996202559924,0.0,0.80996202559924,0.80996202559924,external_model_grid_beats_predictions,catboost,cough,drop_high_shift,,coughvid,platt,external
0,0.0,0.1,51,1,50,0.09759912176396447,0.0196078431372549,0.07799127862670957,0.07799127862670957,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
1,0.1,0.2,2998,102,2896,0.14938780356261372,0.03402268178785857,0.11536512177475515,0.11536512177475515,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
2,0.2,0.30000000000000004,1936,70,1866,0.24519396714737995,0.03615702479338843,0.20903694235399153,0.20903694235399153,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
3,0.30000000000000004,0.4,1267,44,1223,0.34689292756478685,0.03472770323599053,0.31216522432879634,0.31216522432879634,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
4,0.4,0.5,854,30,824,0.4483824390822296,0.0351288056206089,0.4132536334616207,0.4132536334616207,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
5,0.5,0.6000000000000001,596,24,572,0.5498255618503607,0.040268456375838924,0.5095571054745218,0.5095571054745218,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,434,11,423,0.6451649881554747,0.02534562211981567,0.619819366035659,0.619819366035659,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
7,0.7000000000000001,0.8,195,3,192,0.733471610711196,0.015384615384615385,0.7180869953265807,0.7180869953265807,external_model_grid_beats_predictions,catboost,cough,top_stable_120,,coughvid,platt,external
0,0.0,0.1,48,2,46,0.09768597652814193,0.041666666666666664,0.05601930986147526,0.05601930986147526,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
1,0.1,0.2,2729,88,2641,0.15061495629127397,0.03224624404543789,0.11836871224583609,0.11836871224583609,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
2,0.2,0.30000000000000004,2061,70,1991,0.24592536590117373,0.033964095099466275,0.21196127080170746,0.21196127080170746,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
3,0.30000000000000004,0.4,1281,46,1235,0.3473887007652712,0.03590944574551132,0.31147925501975987,0.31147925501975987,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
4,0.4,0.5,942,34,908,0.4470667078203359,0.036093418259023353,0.41097328956131257,0.41097328956131257,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
5,0.5,0.6000000000000001,676,23,653,0.5478613567352013,0.034023668639053255,0.513837688096148,0.513837688096148,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
6,0.6000000000000001,0.7000000000000001,455,19,436,0.6462924444948333,0.041758241758241756,0.6045342027365915,0.6045342027365915,external_model_grid_beats_predictions,catboost,cough,top_stable_50,,coughvid,platt,external
