table_source,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.813,0.716,0.741,0.721,0.761,0.650,0.158,0.038,0.480
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.785,0.690,0.706,0.692,0.721,0.609,0.167,0.060,0.508
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.812,0.720,0.739,0.667,0.811,0.648,0.156,0.057,0.480
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.784,0.702,0.713,0.639,0.786,0.614,0.167,0.067,0.509
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.836,0.753,0.746,0.696,0.797,0.657,0.146,0.049,0.452
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,409,0.801,0.714,0.713,0.632,0.793,0.613,0.159,0.036,0.488
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,4094,0.806,0.717,0.729,0.682,0.776,0.636,0.158,0.056,0.487
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,4094,0.819,0.732,0.732,0.638,0.827,0.638,0.160,0.095,0.524
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,4094,0.819,0.728,0.737,0.669,0.805,0.645,0.153,0.048,0.471
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,4094,0.803,0.715,0.721,0.633,0.809,0.623,0.160,0.064,0.492
