prediction_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,n_samples,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,ece,mce,brier,nll,n_bins,non_empty_bins
external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2793484681891056,0.2451388895070746,0.2451388895070746,0.6261284947495146,0.10728399984163549,0.3767552320604443,10,7
external_model_grid_opensmile_egemaps_predictions,catboost,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2703834506134452,0.23617387193141423,0.23617387193141418,0.7216026569329569,0.10552148838162455,0.3701085424354687,10,8
external_model_grid_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2570464388096856,0.2228368601276546,0.2228368601276546,0.6271712438058479,0.09905960445918173,0.3556427162028728,10,7
external_model_grid_opensmile_egemaps_predictions,lightgbm,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.24868833769390947,0.2144787590118785,0.2144787590118785,0.7169094930146872,0.09328128291583676,0.3426229888622035,10,7
external_model_grid_opensmile_egemaps_predictions,lightgbm,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.25930524504539937,0.2250956663633684,0.22509566636336847,0.6485034107471792,0.10160363932681442,0.3607734629956961,10,7
external_model_grid_opensmile_egemaps_predictions,lightgbm,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.28226378518235756,0.24805420650032659,0.2480542065003265,0.6007376400984988,0.10786805830929182,0.3810603598547522,10,6
external_model_grid_opensmile_egemaps_predictions,lightgbm,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.27305981162142046,0.23885023293938948,0.2388502329393895,0.6560392874367907,0.10580848194426483,0.3735316595229099,10,7
external_model_grid_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.19195946127620198,0.157749882594171,0.157749882594171,0.6825656908317765,0.07042277717966451,0.2766895643607747,10,8
external_model_grid_opensmile_egemaps_predictions,logistic_regression,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.21468155144258388,0.1804719727605529,0.18047197276055293,0.7353664086993827,0.08046916805696272,0.3029315739490345,10,8
external_model_grid_opensmile_egemaps_predictions,logistic_regression,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.1919594613581255,0.15774988267609452,0.1577498826760945,0.6825656906279856,0.07042277720096811,0.2766895644482651,10,8
external_model_grid_opensmile_egemaps_predictions,logistic_regression,cough,top_stable_50,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.3055542800199397,0.2713447013379087,0.2713447013379088,0.7432914019906132,0.12257042479317856,0.41404934495415613,10,8
external_model_grid_opensmile_egemaps_predictions,logistic_regression,cough,top_stable_80,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2849654368510953,0.25075585816906437,0.2507558581690643,0.7246279345619886,0.11117974962764629,0.38626159284569617,10,8
external_model_grid_opensmile_egemaps_predictions,random_forest,cough,all,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2727998144578718,0.23859023577584085,0.23859023577584085,0.6406293693720231,0.09811416097508757,0.36205300490905645,10,7
external_model_grid_opensmile_egemaps_predictions,random_forest,cough,drop_high_shift,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.2786042916926169,0.24439471301058593,0.24439471301058596,0.7107739538238755,0.10044732206264953,0.3678890862606155,10,7
external_model_grid_opensmile_egemaps_predictions,random_forest,cough,top_stable_120,,coughvid,platt,external,8331,285,8046,0.03420957868203097,0.27233992200454743,0.23813034332251645,0.23813034332251642,0.6144273440188217,0.09747093152991952,0.3607127004267609,10,7
