auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,selected_feature_k,fold,fold_unit,metric_split,threshold_source,skipped,n_selected_features,n_folds,auroc_std,auprc_std,balanced_accuracy_std,f1_std,sensitivity_std,specificity_std,brier_std,ece_std,nll_std,paper_comparable_modality_run
0.8255829791870982,0.7329767324377733,0.7317750898986597,0.6370967741935484,0.5939849624060151,0.8695652173913043,0.1570238252987595,0.0788822630814519,0.5038244403269108,0.4126506016205153,409.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8177146210596915,0.7487612919578157,0.7426391683433937,0.6527514231499051,0.7166666666666667,0.7686116700201208,0.1503777735519719,0.0475296542445525,0.4687030324392332,0.350168725576559,737.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.7984363081617086,0.7061037772102311,0.7357660455486543,0.6440677966101694,0.7142857142857143,0.7572463768115942,0.1598201250694333,0.0401408201529825,0.4928102260282655,0.350168725576559,409.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8226945003353454,0.751826466844589,0.7549337692823608,0.6694386694386695,0.6708333333333333,0.8390342052313883,0.1495842277184682,0.0472381943432434,0.4656940354713383,0.4347052872180938,737.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.7973330064291162,0.7058768745588064,0.7384357633213467,0.6470588235294118,0.6616541353383458,0.8152173913043478,0.1608254970410644,0.0619586448032581,0.4925476775726008,0.4347052872180938,409.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8254778672032195,0.744501104751513,0.7756161971830986,0.6931818181818182,0.7625,0.7887323943661971,0.1472622759131916,0.0347760541285693,0.4620859048242968,0.3356603494809502,737.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.797945951836112,0.6843921653461614,0.7169690530674513,0.6206896551724138,0.6766917293233082,0.7572463768115942,0.1643410519597694,0.0366374675998446,0.4930030835811647,0.3356603494809502,409.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8416247484909456,0.7630253161955589,0.7672116029510396,0.6833013435700576,0.7416666666666667,0.7927565392354124,0.14784911840192,0.0670779136902136,0.4679723190080735,0.2708646196822698,737.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,7,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8078348044023101,0.7176352673262998,0.7318704369619702,0.6391752577319587,0.6992481203007519,0.7644927536231884,0.1646824378326028,0.0947670726733884,0.5307453006251517,0.2708646196822698,409.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,800.0,7,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8298205902079142,0.7499692890196408,0.7535546613011401,0.6654611211573237,0.7666666666666667,0.7404426559356136,0.1479274988942284,0.0426131366630829,0.4559898118076828,0.3346350271897162,737.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,7,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8028767571101666,0.7069509024403554,0.7349079219788601,0.6435331230283912,0.7669172932330827,0.7028985507246377,0.1605857859772132,0.055753984170341,0.4917969759215108,0.3346350271897162,409.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,7,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.8326794097920858,0.7566979268149862,0.7529845741113346,0.665406427221172,0.7333333333333333,0.772635814889336,0.1477429312092736,0.0411610536762542,0.4540988492463592,0.3854636549949646,737.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,7,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
0.7958483164432821,0.7091579794286892,0.7414732483382369,0.6510067114093959,0.7293233082706767,0.7536231884057971,0.1629647473941781,0.0708864971469919,0.4976794055538499,0.3854636549949646,409.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,800.0,7,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,,cough
